district,total,%,No qualifications,%,Highest level of qualification: Level 1 qualifications,%,Highest level of qualification: Level 2 qualifications,%,Highest level of qualification: Apprenticeship,%,Highest level of qualification: Level 3 qualifications,%,Highest level of qualification: Level 4 qualifications and above,%,Highest level of qualification: Other qualifications,%,Schoolchildren and full-time students: Age 16 to 17,%,Schoolchildren and full-time students: Age 18 and over,%,Full-time students: Age 18 to 74: Economically active: In employment,%,Full-time students: Age 18 to 74: Economically active: Unemployed,%,Full-time students: Age 18 to 74: Economically inactive,%
Preston,113422,100,26601,23.5,14311,12.6,16410,14.5,4380,3.9,17171,15.1,27930,24.6,6619,5.8,2880,2.5,12055,10.6,4277,3.8,1451,1.3,6307,5.6
Ribble Valley,46552,100,8533,18.3,5175,11.1,7126,15.3,2339,5,5841,12.5,15817,34,1721,3.7,1391,3,1282,2.8,665,1.4,50,0.1,561,1.2
Rossendale,54811,100,13130,24,7504,13.7,9068,16.5,2201,4,7146,13,13776,25.1,1986,3.6,1641,3,1673,3.1,677,1.2,151,0.3,840,1.5
South Ribble,89163,100,18136,20.3,12038,13.5,14825,16.6,5165,5.8,12242,13.7,23537,26.4,3220,3.6,2336,2.6,2583,2.9,1342,1.5,176,0.2,1060,1.2
West Lancashire,90712,100,21296,23.5,12150,13.4,14318,15.8,3600,4,12652,13.9,23000,25.4,3696,4.1,2548,2.8,5539,6.1,2195,2.4,580,0.6,2745,3
Wyre,90467,100,23409,25.9,12155,13.4,15052,16.6,4370,4.8,10898,12,20793,23,3790,4.2,2471,2.7,2870,3.2,1345,1.5,211,0.2,1308,1.4
Knowsley,117225,100,40647,34.7,17774,15.2,18907,16.1,4037,3.4,13788,11.8,18120,15.5,3952,3.4,3607,3.1,4591,3.9,1781,1.5,507,0.4,2279,1.9
Liverpool,388315,100,111532,28.7,48659,12.5,55019,14.2,9866,2.5,59067,15.2,87126,22.4,17046,4.4,9621,2.5,46227,11.9,13255,3.4,4678,1.2,28221,7.3
Sefton,226435,100,56921,25.1,31674,14,37522,16.6,8810,3.9,28214,12.5,54490,24.1,8804,3.9,6321,2.8,8286,3.7,3655,1.6,744,0.3,3840,1.7
St. Helens,143372,100,39950,27.9,20522,14.3,23930,16.7,6251,4.4,17408,12.1,29924,20.9,5387,3.8,3954,2.8,4480,3.1,1812,1.3,441,0.3,2207,1.5
Wirral,260498,100,61014,23.4,35570,13.7,44986,17.3,11048,4.2,32688,12.5,65809,25.3,9383,3.6,7426,2.9,8419,3.2,3204,1.2,766,0.3,4388,1.7
East Riding of Yorkshire,278333,100,65035,23.4,36228,13,45111,16.2,14051,5,33672,12.1,72004,25.9,12232,4.4,7250,2.6,8267,3,3483,1.3,696,0.3,4030,1.4
"Kingston upon Hull, City of",208040,100,65851,31.7,30362,14.6,32099,15.4,8371,4,27284,13.1,31687,15.2,12386,6,5315,2.6,14550,7,4166,2,1344,0.6,9008,4.3
North East Lincolnshire,129377,100,38209,29.5,20816,16.1,23003,17.8,6002,4.6,13998,10.8,20970,16.2,6379,4.9,3557,2.7,4173,3.2,1502,1.2,511,0.4,2143,1.7
North Lincolnshire,136105,100,35633,26.2,21498,15.8,22796,16.7,6636,4.9,15917,11.7,26583,19.5,7042,5.2,3650,2.7,3647,2.7,1428,1,355,0.3,1849,1.4
York,166275,100,29863,18,17636,10.6,23070,13.9,7429,4.5,27590,16.6,53875,32.4,6812,4.1,3667,2.2,19002,11.4,5730,3.4,1346,0.8,11900,7.2
Craven,46161,100,9356,20.3,5418,11.7,7263,15.7,2103,4.6,5655,12.3,14663,31.8,1703,3.7,1236,2.7,1048,2.3,523,1.1,72,0.2,449,1
Hambleton,74039,100,14536,19.6,8869,12,11914,16.1,3015,4.1,9015,12.2,23736,32.1,2954,4,1848,2.5,1476,2,736,1,57,0.1,673,0.9
Harrogate,129036,100,22312,17.3,15280,11.8,21135,16.4,4649,3.6,15220,11.8,44002,34.1,6438,5,3718,2.9,2963,2.3,1489,1.2,117,0.1,1342,1
Richmondshire,42698,100,7925,18.6,6419,15,7681,18,1590,3.7,5269,12.3,11513,27,2301,5.4,950,2.2,684,1.6,338,0.8,39,0.1,304,0.7
Ryedale,43200,100,10369,24,5427,12.6,7033,16.3,1768,4.1,4900,11.3,11793,27.3,1910,4.4,1266,2.9,812,1.9,367,0.8,45,0.1,393,0.9
Scarborough,91402,100,23755,26,11781,12.9,14853,16.3,4862,5.3,11027,12.1,20742,22.7,4382,4.8,2164,2.4,3259,3.6,1250,1.4,327,0.4,1665,1.8
Selby,68135,100,14431,21.2,9535,14,11323,16.6,3402,5,8731,12.8,17786,26.1,2927,4.3,1921,2.8,1486,2.2,750,1.1,111,0.2,619,0.9
Barnsley,188335,100,60890,32.3,26913,14.3,30550,16.2,7716,4.1,21342,11.3,32724,17.4,8200,4.4,4905,2.6,4942,2.6,1986,1.1,462,0.2,2458,1.3
Doncaster,244909,100,74119,30.3,37763,15.4,41607,17,10958,4.5,26126,10.7,41714,17,12622,5.2,6679,2.7,6466,2.6,2390,1,568,0.2,3466,1.4
Rotherham,208018,100,62076,29.8,32284,15.5,35048,16.8,9065,4.4,24001,11.5,36165,17.4,9379,4.5,5829,2.8,5666,2.7,2254,1.1,545,0.3,2830,1.4
Sheffield,452014,100,109841,24.3,55566,12.3,62097,13.7,16192,3.6,71594,15.8,116007,25.7,20717,4.6,10970,2.4,55021,12.2,14727,3.3,5166,1.1,35045,7.8
Bradford,400121,100,110892,27.7,56413,14.1,59350,14.8,15131,3.8,45101,11.3,87397,21.8,25837,6.5,12568,3.1,22342,5.6,7087,1.8,2429,0.6,12761,3.2
Calderdale,163645,100,38943,23.8,22314,13.6,26507,16.2,7989,4.9,20079,12.3,40881,25,6932,4.2,4551,2.8,5247,3.2,2161,1.3,451,0.3,2620,1.6
Kirklees,336309,100,85554,25.4,44435,13.2,50474,15,16232,4.8,42257,12.6,80275,23.9,17082,5.1,9333,2.8,18358,5.5,6442,1.9,1794,0.5,10070,3
Leeds,613992,100,142481,23.2,77294,12.6,86614,14.1,22893,3.7,90497,14.7,165429,26.9,28784,4.7,14928,2.4,59741,9.7,19022,3.1,6305,1,34318,5.6
Wakefield,265797,100,82621,31.1,38778,14.6,42790,16.1,11636,4.4,28205,10.6,48772,18.3,12995,4.9,6985,2.6,6300,2.4,2602,1,527,0.2,3134,1.2
Derby,198076,100,47731,24.1,26294,13.3,28681,14.5,9793,4.9,25838,13,47955,24.2,11784,5.9,5400,2.7,12910,6.5,4526,2.3,1353,0.7,7000,3.5
Leicester,260560,100,74409,28.6,33751,13,32781,12.6,5309,2,33888,13,55223,21.2,25199,9.7,7748,3,32323,12.4,8572,3.3,3138,1.2,20555,7.9
Nottingham,250104,100,63991,25.6,30619,12.2,32333,12.9,5715,2.3,46411,18.6,54875,21.9,16160,6.5,5762,2.3,45921,18.4,9678,3.9,3653,1.5,32541,13
Rutland,30683,100,5453,17.8,3729,12.2,5373,17.5,1114,3.6,3834,12.5,10096,32.9,1084,3.5,1354,4.4,777,2.5,301,1,32,0.1,437,1.4
Amber Valley,100841,100,27220,27,13986,13.9,15627,15.5,4683,4.6,12086,12,23346,23.2,3893,3.9,2685,2.7,2296,2.3,1025,1,157,0.2,1093,1.1
Bolsover,62192,100,20455,32.9,9520,15.3,10195,16.4,2308,3.7,7064,11.4,9853,15.8,2797,4.5,1665,2.7,1488,2.4,621,1,134,0.2,724,1.2
Chesterfield,85595,100,23618,27.6,12252,14.3,14567,17,3441,4,10342,12.1,17994,21,3381,3.9,2327,2.7,2152,2.5,919,1.1,199,0.2,1012,1.2
Derbyshire Dales,59299,100,12773,21.5,7088,12,8870,15,1992,3.4,6572,11.1,19816,33.4,2188,3.7,1536,2.6,1236,2.1,551,0.9,55,0.1,625,1.1
Erewash,91948,100,23808,25.9,14091,15.3,15197,16.5,4851,5.3,11350,12.3,19015,20.7,3636,4,2525,2.7,2343,2.5,1023,1.1,184,0.2,1121,1.2
High Peak,74416,100,15520,20.9,9771,13.1,11931,16,2943,4,9779,13.1,21884,29.4,2588,3.5,2058,2.8,2547,3.4,983,1.3,212,0.3,1341,1.8
North East Derbyshire,82699,100,22277,26.9,11752,14.2,13731,16.6,3632,4.4,9838,11.9,18340,22.2,3129,3.8,2107,2.5,1961,2.4,839,1,135,0.2,977,1.2
South Derbyshire,75910,100,16707,22,10674,14.1,12617,16.6,3663,4.8,9738,12.8,19701,26,2810,3.7,2251,3,2016,2.7,939,1.2,139,0.2,934,1.2
Blaby,76334,100,16964,22.2,11097,14.5,12257,16.1,4360,5.7,9378,12.3,18988,24.9,3290,4.3,2179,2.9,2233,2.9,1059,1.4,199,0.3,962,1.3
Charnwood,137878,100,28265,20.5,16740,12.1,19685,14.3,6586,4.8,23470,17,36916,26.8,6216,4.5,3781,2.7,15776,11.4,3575,2.6,887,0.6,11297,8.2
Harborough,69034,100,12461,18.1,9158,13.3,11275,16.3,3165,4.6,8340,12.1,21982,31.8,2653,3.8,2087,3,1785,2.6,794,1.2,80,0.1,906,1.3
Hinckley and Bosworth,86475,100,21089,24.4,12342,14.3,13895,16.1,4144,4.8,10733,12.4,20803,24.1,3469,4,2265,2.6,2086,2.4,960,1.1,134,0.2,977,1.1
Melton,41237,100,8808,21.4,5793,14,6794,16.5,1994,4.8,5225,12.7,10785,26.2,1838,4.5,1130,2.7,1048,2.5,489,1.2,79,0.2,473,1.1
North West Leicestershire,75791,100,19691,26,9988,13.2,11639,15.4,3426,4.5,9411,12.4,18402,24.3,3234,4.3,2036,2.7,2150,2.8,865,1.1,121,0.2,1151,1.5
Oadby and Wigston,46359,100,10461,22.6,6144,13.3,7008,15.1,1976,4.3,6796,14.7,11476,24.8,2498,5.4,1443,3.1,3608,7.8,904,1.9,285,0.6,2413,5.2
Boston,53275,100,17421,32.7,7705,14.5,8126,15.3,1745,3.3,4954,9.3,8060,15.1,5264,9.9,1277,2.4,1125,2.1,474,0.9,112,0.2,528,1
East Lindsey,115418,100,37648,32.6,16355,14.2,18058,15.6,4922,4.3,12071,10.5,20849,18.1,5515,4.8,2794,2.4,2218,1.9,837,0.7,185,0.2,1178,1
Lincoln,78190,100,17134,21.9,10349,13.2,12587,16.1,2899,3.7,14395,18.4,16644,21.3,4182,5.3,1752,2.2,9441,12.1,3242,4.1,1180,1.5,5010,6.4
North Kesteven,88700,100,19289,21.7,12232,13.8,15306,17.3,3885,4.4,11685,13.2,22559,25.4,3744,4.2,2373,2.7,1930,2.2,935,1.1,143,0.2,836,0.9
South Holland,73354,100,22628,30.8,11195,15.3,12070,16.5,2710,3.7,7354,10,11586,15.8,5811,7.9,1815,2.5,1199,1.6,545,0.7,93,0.1,555,0.8
South Kesteven,109085,100,23608,21.6,15098,13.8,18733,17.2,5007,4.6,13474,12.4,27974,25.6,5191,4.8,3147,2.9,2388,2.2,1173,1.1,201,0.2,1009,0.9
West Lindsey,73753,100,16963,23,10217,13.9,12217,16.6,3796,5.1,8796,11.9,18642,25.3,3122,4.2,2140,2.9,1684,2.3,753,1,140,0.2,787,1.1
Corby,48637,100,13439,27.6,8405,17.3,8330,17.1,2005,4.1,5393,11.1,7254,14.9,3811,7.8,1387,2.9,1340,2.8,645,1.3,101,0.2,587,1.2
Daventry,63031,100,11918,18.9,9337,14.8,10742,17,2762,4.4,7416,11.8,18158,28.8,2698,4.3,1906,3,1534,2.4,731,1.2,108,0.2,685,1.1
East Northamptonshire,69576,100,15506,22.3,10629,15.3,12222,17.6,3085,4.4,8220,11.8,16866,24.2,3048,4.4,2259,3.2,1632,2.3,719,1,111,0.2,795,1.1
Kettering,74809,100,17079,22.8,11565,15.5,12720,17,3244,4.3,8814,11.8,17406,23.3,3981,5.3,1971,2.6,1808,2.4,908,1.2,140,0.2,757,1
Northampton,169056,100,38113,22.5,25243,14.9,26773,15.8,6037,3.6,20905,12.4,40021,23.7,11964,7.1,4489,2.7,9524,5.6,3836,2.3,969,0.6,4697,2.8
South Northamptonshire,68624,100,11955,17.4,9609,14,11442,16.7,3058,4.5,8559,12.5,21308,31.1,2693,3.9,1946,2.8,1494,2.2,809,1.2,87,0.1,592,0.9
Wellingborough,60348,100,15534,25.7,9661,16,9932,16.5,2489,4.1,6544,10.8,12307,20.4,3881,6.4,1627,2.7,1577,2.6,744,1.2,147,0.2,678,1.1
Ashfield,96698,100,30345,31.4,15846,16.4,15901,16.4,4174,4.3,11626,12,14595,15.1,4211,4.4,2464,2.5,2277,2.4,936,1,221,0.2,1100,1.1
Bassetlaw,92702,100,26393,28.5,13513,14.6,15245,16.4,3847,4.1,10453,11.3,18761,20.2,4490,4.8,2624,2.8,2189,2.4,968,1,192,0.2,1018,1.1
Broxtowe,90938,100,21031,23.1,11721,12.9,13547,14.9,4079,4.5,11046,12.1,25678,28.2,3836,4.2,2393,2.6,4412,4.9,1362,1.5,252,0.3,2781,3.1
Gedling,93186,100,21980,23.6,12775,13.7,14737,15.8,4240,4.6,11999,12.9,23601,25.3,3854,4.1,2512,2.7,2621,2.8,1214,1.3,237,0.3,1152,1.2
Mansfield,85448,100,25944,30.4,13414,15.7,14087,16.5,3143,3.7,10376,12.1,13978,16.4,4506,5.3,2316,2.7,2133,2.5,945,1.1,204,0.2,970,1.1
Newark and Sherwood,93957,100,23550,25.1,13423,14.3,15088,16.1,3795,4,11169,11.9,22698,24.2,4234,4.5,2516,2.7,2625,2.8,1102,1.2,202,0.2,1314,1.4
Rushcliffe,90551,100,14835,16.4,9411,10.4,13032,14.4,3061,3.4,11861,13.1,35307,39,3044,3.4,2455,2.7,4563,5,1617,1.8,282,0.3,2658,2.9
"Herefordshire, County of",151962,100,34845,22.9,19396,12.8,24322,16,5410,3.6,18235,12,41779,27.5,7975,5.2,3938,2.6,3853,2.5,1605,1.1,255,0.2,1969,1.3
Shropshire,252979,100,56943,22.5,33158,13.1,42594,16.8,9289,3.7,30749,12.2,69558,27.5,10688,4.2,7183,2.8,6516,2.6,2629,1,343,0.1,3513,1.4
Stoke-on-Trent,200642,100,67773,33.8,28825,14.4,31875,15.9,7066,3.5,23961,11.9,31041,15.5,10101,5,5378,2.7,11173,5.6,4006,2,1318,0.7,5809,2.9
Telford and Wrekin,132440,100,32612,24.6,20055,15.1,23731,17.9,4413,3.3,17199,13,27713,20.9,6717,5.1,4018,3,5412,4.1,1840,1.4,336,0.3,3217,2.4
Cannock Chase,79027,100,22278,28.2,12884,16.3,14034,17.8,2861,3.6,10021,12.7,13606,17.2,3343,4.2,2249,2.8,2123,2.7,960,1.2,232,0.3,926,1.2
East Staffordshire,91821,100,22671,24.7,13019,14.2,14802,16.1,3849,4.2,10752,11.7,21466,23.4,5262,5.7,2691,2.9,2518,2.7,1169,1.3,218,0.2,1119,1.2
Lichfield,83057,100,18622,22.4,11388,13.7,13304,16,2939,3.5,9779,11.8,23604,28.4,3421,4.1,2269,2.7,2196,2.6,992,1.2,151,0.2,1046,1.3
Newcastle-under-Lyme,102813,100,27529,26.8,13094,12.7,16098,15.7,3976,3.9,14874,14.5,23121,22.5,4121,4,2553,2.5,7961,7.7,2273,2.2,569,0.6,5095,5
South Staffordshire,90506,100,21699,24,12597,13.9,14973,16.5,3631,4,11356,12.5,22707,25.1,3543,3.9,2550,2.8,2571,2.8,1164,1.3,179,0.2,1217,1.3
