district,total,%,No qualifications,%,Highest level of qualification: Level 1 qualifications,%,Highest level of qualification: Level 2 qualifications,%,Highest level of qualification: Apprenticeship,%,Highest level of qualification: Level 3 qualifications,%,Highest level of qualification: Level 4 qualifications and above,%,Highest level of qualification: Other qualifications,%,Schoolchildren and full-time students: Age 16 to 17,%,Schoolchildren and full-time students: Age 18 and over,%,Full-time students: Age 18 to 74: Economically active: In employment,%,Full-time students: Age 18 to 74: Economically active: Unemployed,%,Full-time students: Age 18 to 74: Economically inactive,%
Weymouth and Portland,54306,100,12236,22.5,8094,14.9,9447,17.4,2804,5.2,7102,13.1,12207,22.5,2416,4.4,1355,2.5,1260,2.3,582,1.1,114,0.2,554,1
Cheltenham,96008,100,15904,16.6,10906,11.4,13778,14.4,3021,3.1,13216,13.8,34782,36.2,4401,4.6,2574,2.7,6725,7,2806,2.9,531,0.6,3379,3.5
Cotswold,69138,100,12758,18.5,8865,12.8,10957,15.8,2236,3.2,8225,11.9,23267,33.7,2830,4.1,1766,2.6,2235,3.2,737,1.1,87,0.1,1402,2
Forest of Dean,67947,100,16664,24.5,9750,14.3,11416,16.8,3045,4.5,8128,12,16285,24,2659,3.9,2148,3.2,1997,2.9,769,1.1,165,0.2,1050,1.5
Gloucester,97531,100,21247,21.8,15704,16.1,16831,17.3,4180,4.3,12832,13.2,21651,22.2,5086,5.2,2734,2.8,3797,3.9,1640,1.7,299,0.3,1850,1.9
Stroud,92251,100,16788,18.2,11898,12.9,14372,15.6,4296,4.7,11257,12.2,30324,32.9,3316,3.6,2702,2.9,2169,2.4,995,1.1,128,0.1,1035,1.1
Tewkesbury,67358,100,12667,18.8,9251,13.7,11230,16.7,2932,4.4,8214,12.2,20329,30.2,2735,4.1,1702,2.5,1433,2.1,731,1.1,91,0.1,602,0.9
Mendip,88882,100,19054,21.4,12036,13.5,15180,17.1,3610,4.1,10697,12,24769,27.9,3536,4,3067,3.5,2147,2.4,951,1.1,124,0.1,1062,1.2
Sedgemoor,93922,100,23534,25.1,13815,14.7,16048,17.1,4386,4.7,11103,11.8,20778,22.1,4258,4.5,2681,2.9,2242,2.4,1065,1.1,185,0.2,972,1
South Somerset,132625,100,29089,21.9,18212,13.7,22503,17,6922,5.2,16481,12.4,33228,25.1,6190,4.7,3373,2.5,2618,2,1326,1,143,0.1,1132,0.9
Taunton Deane,90109,100,18510,20.5,11674,13,16101,17.9,3295,3.7,11068,12.3,25348,28.1,4113,4.6,2756,3.1,2584,2.9,1169,1.3,144,0.2,1263,1.4
West Somerset,29844,100,7403,24.8,4066,13.6,4989,16.7,1195,4,3189,10.7,7415,24.8,1587,5.3,616,2.1,549,1.8,201,0.7,34,0.1,306,1
