"district","total","%","Day-to-day activities limited a lot","%","Day-to-day activities limited a little","%","Day-to-day activities not limited","%","Day-to-day activities limited a lot: Age 16 to 64","%","Day-to-day activities limited a little: Age 16 to 64","%","Day-to-day activities not limited: Age 16 to 64","%","Very good health","%","Good health","%","Fair health","%","Bad health","%","Very bad health","%","Provides no unpaid care","%","Provides 1 to 19 hours unpaid care a week","%","Provides 20 to 49 hours unpaid care a week","%","Provides 50 or more hours unpaid care a week","%"
"Aylesbury Vale",174137,100.0,9921,5.7,13733,7.9,150483,86.4,3899,2.2,6584,3.8,102048,58.6,89515,51.4,59530,34.2,19073,11.0,4661,2.7,1358,0.8,157571,90.5,11840,6.8,1787,1.0,2939,1.7
"Chiltern",92635,100.0,5054,5.5,7394,8.0,80187,86.6,1681,1.8,2814,3.0,51216,55.3,49848,53.8,30368,32.8,9433,10.2,2334,2.5,652,0.7,82971,89.6,7324,7.9,859,0.9,1481,1.6
"South Bucks",66867,100.0,3965,5.9,5335,8.0,57567,86.1,1202,1.8,2095,3.1,37953,56.8,35055,52.4,22267,33.3,7025,10.5,1959,2.9,561,0.8,59974,89.7,4982,7.5,737,1.1,1174,1.8
"Wycombe",171644,100.0,9339,5.4,13187,7.7,149118,86.9,3399,2.0,6085,3.5,100107,58.3,88483,51.6,58721,34.2,18456,10.8,4653,2.7,1331,0.8,155253,90.5,11674,6.8,1885,1.1,2832,1.6
"Eastbourne",99412,100.0,9622,9.7,11209,11.3,78581,79.0,3707,3.7,4767,4.8,51914,52.2,42818,43.1,35193,35.4,15251,15.3,4712,4.7,1438,1.4,88894,89.4,6678,6.7,1261,1.3,2579,2.6
"Hastings",90254,100.0,9581,10.6,10375,11.5,70298,77.9,4832,5.4,5586,6.2,47669,52.8,36556,40.5,32707,36.2,14276,15.8,5159,5.7,1556,1.7,80812,89.5,5708,6.3,1321,1.5,2413,2.7
"Lewes",97502,100.0,8471,8.7,10583,10.9,78448,80.5,3164,3.2,4424,4.5,50792,52.1,43719,44.8,34634,35.5,13900,14.3,4066,4.2,1183,1.2,86001,88.2,8000,8.2,1197,1.2,2304,2.4
"Rother",90588,100.0,9651,10.7,11591,12.8,69346,76.6,3255,3.6,4304,4.8,43037,47.5,36737,40.6,33152,36.6,14960,16.5,4463,4.9,1276,1.4,79327,87.6,7279,8.0,1250,1.4,2732,3.0
"Wealden",148915,100.0,10918,7.3,15144,10.2,122853,82.5,3733,2.5,5860,3.9,78708,52.9,70867,47.6,52009,34.9,19408,13.0,5198,3.5,1433,1.0,132228,88.8,11872,8.0,1716,1.2,3099,2.1
"Basingstoke and Deane",167799,100.0,9326,5.6,13402,8.0,145071,86.5,3967,2.4,6601,3.9,99228,59.1,85034,50.7,58917,35.1,18047,10.8,4559,2.7,1242,0.7,152566,90.9,10548,6.3,1697,1.0,2988,1.8
"East Hampshire",115608,100.0,7402,6.4,9841,8.5,98365,85.1,2611,2.3,4190,3.6,64915,56.2,58330,50.5,40113,34.7,12885,11.1,3336,2.9,944,0.8,103977,89.9,8497,7.3,1106,1.0,2028,1.8
"Eastleigh",125199,100.0,8279,6.6,10837,8.7,106083,84.7,3236,2.6,5109,4.1,72306,57.8,61561,49.2,44190,35.3,14538,11.6,3817,3.0,1093,0.9,112478,89.8,8895,7.1,1417,1.1,2409,1.9
"Fareham",111581,100.0,7548,6.8,10839,9.7,93194,83.5,2473,2.2,4502,4.0,62402,55.9,54170,48.5,39284,35.2,13638,12.2,3489,3.1,1000,0.9,99702,89.4,8382,7.5,1198,1.1,2299,2.1
"Gosport",82622,100.0,6405,7.8,8095,9.8,68122,82.5,2710,3.3,3942,4.8,45644,55.2,37447,45.3,29915,36.2,11224,13.6,3215,3.9,821,1.0,74446,90.1,5239,6.3,988,1.2,1949,2.4
"Hart",91033,100.0,4123,4.5,6822,7.5,80088,88.0,1451,1.6,2926,3.2,53286,58.5,50079,55.0,30120,33.1,8432,9.3,1891,2.1,511,0.6,83037,91.2,5931,6.5,779,0.9,1286,1.4
"Havant",120684,100.0,10647,8.8,12696,10.5,97341,80.7,4339,3.6,5425,4.5,63618,52.7,53474,44.3,43275,35.9,17188,14.2,5172,4.3,1575,1.3,107566,89.1,8185,6.8,1620,1.3,3313,2.7
"New Forest",176462,100.0,14591,8.3,19391,11.0,142480,80.7,4753,2.7,7273,4.1,91346,51.8,79671,45.1,63302,35.9,24871,14.1,6715,3.8,1903,1.1,155715,88.2,14238,8.1,2195,1.2,4314,2.4
"Rushmoor",93807,100.0,5250,5.6,7185,7.7,81372,86.7,2302,2.5,3853,4.1,57255,61.0,46970,50.1,33340,35.5,10099,10.8,2625,2.8,773,0.8,86057,91.7,5145,5.5,989,1.1,1616,1.7
"Test Valley",116398,100.0,7456,6.4,10263,8.8,98679,84.8,2742,2.4,4580,3.9,65695,56.4,58222,50.0,40262,34.6,13530,11.6,3457,3.0,927,0.8,104283,89.6,8551,7.3,1272,1.1,2292,2.0
"Winchester",116595,100.0,6862,5.9,10065,8.6,99668,85.5,2318,2.0,4305,3.7,66708,57.2,62025,53.2,38219,32.8,12354,10.6,3135,2.7,862,0.7,105023,90.1,8613,7.4,1025,0.9,1934,1.7
"Ashford",117956,100.0,8416,7.1,10669,9.0,98871,83.8,3489,3.0,5107,4.3,64847,55.0,56128,47.6,41385,35.1,15027,12.7,4163,3.5,1253,1.1,106137,90.0,7686,6.5,1428,1.2,2705,2.3
"Canterbury",151145,100.0,12427,8.2,14891,9.9,123827,81.9,4762,3.2,6612,4.4,86152,57.0,70764,46.8,52338,34.6,20211,13.4,6133,4.1,1699,1.1,135562,89.7,10089,6.7,1815,1.2,3679,2.4
"Dartford",97365,100.0,6621,6.8,8114,8.3,82630,84.9,2718,2.8,3955,4.1,56717,58.3,47273,48.6,33941,34.9,11837,12.2,3314,3.4,1000,1.0,88146,90.5,5927,6.1,1126,1.2,2166,2.2
"Dover",111674,100.0,10853,9.7,12404,11.1,88417,79.2,4473,4.0,5815,5.2,58577,52.5,48433,43.4,39477,35.4,16745,15.0,5538,5.0,1481,1.3,99020,88.7,7892,7.1,1579,1.4,3183,2.9
"Gravesham",101720,100.0,7796,7.7,9546,9.4,84378,83.0,3418,3.4,4521,4.4,56735,55.8,47298,46.5,35572,35.0,13629,13.4,4104,4.0,1117,1.1,91410,89.9,6371,6.3,1383,1.4,2556,2.5
"Maidstone",155143,100.0,10660,6.9,13845,8.9,130638,84.2,4182,2.7,6457,4.2,88323,56.9,74636,48.1,54384,35.1,19291,12.4,5323,3.4,1509,1.0,139582,90.0,10472,6.7,1728,1.1,3361,2.2
