"local authority: district / unitary (prior to April 2015)","All households","%","Owned","%","Owned: Owned outright","%","Owned: Owned with a mortgage or loan","%","Shared ownership (part owned and part rented)","%","Social rented","%","Social rented: Rented from council (Local Authority)","%","Social rented: Other","%","Private rented","%","Private rented: Private landlord or letting agency","%","Private rented: Other","%","Living rent free","%"
"Christchurch",21475,100.0,15967,74.4,9814,45.7,6153,28.7,182,0.8,2784,13.0,200,0.9,2584,12.0,2321,10.8,2115,9.8,206,1.0,221,1.0
"East Dorset",37564,100.0,30371,80.9,18017,48.0,12354,32.9,111,0.3,3120,8.3,292,0.8,2828,7.5,3471,9.2,3028,8.1,443,1.2,491,1.3
"North Dorset",28670,100.0,20002,69.8,11286,39.4,8716,30.4,217,0.8,3865,13.5,282,1.0,3583,12.5,4094,14.3,3247,11.3,847,3.0,492,1.7
"Purbeck",19583,100.0,13613,69.5,8306,42.4,5307,27.1,165,0.8,2446,12.5,444,2.3,2002,10.2,3005,15.3,2391,12.2,614,3.1,354,1.8
"West Dorset",44386,100.0,30823,69.4,19563,44.1,11260,25.4,370,0.8,6159,13.9,367,0.8,5792,13.0,6093,13.7,5419,12.2,674,1.5,941,2.1
"Weymouth and Portland",28535,100.0,19061,66.8,10421,36.5,8640,30.3,161,0.6,3894,13.6,1293,4.5,2601,9.1,5073,17.8,4651,16.3,422,1.5,346,1.2
"Cheltenham",50929,100.0,32879,64.6,16363,32.1,16516,32.4,360,0.7,6227,12.2,4091,8.0,2136,4.2,10925,21.5,10260,20.1,665,1.3,538,1.1
"Cotswold",36236,100.0,23803,65.7,13691,37.8,10112,27.9,441,1.2,5388,14.9,623,1.7,4765,13.1,5518,15.2,4767,13.2,751,2.1,1086,3.0
"Forest of Dean",34167,100.0,25371,74.3,13966,40.9,11405,33.4,186,0.5,4237,12.4,773,2.3,3464,10.1,3835,11.2,3261,9.5,574,1.7,538,1.6
"Gloucester",50363,100.0,33858,67.2,14729,29.2,19129,38.0,557,1.1,6714,13.3,3921,7.8,2793,5.5,8755,17.4,8012,15.9,743,1.5,479,1.0
"Stroud",47794,100.0,34988,73.2,18187,38.1,16801,35.2,285,0.6,6097,12.8,4823,10.1,1274,2.7,5791,12.1,5288,11.1,503,1.1,633,1.3
"Tewkesbury",35126,100.0,25844,73.6,13391,38.1,12453,35.5,330,0.9,4190,11.9,727,2.1,3463,9.9,4351,12.4,3611,10.3,740,2.1,411,1.2
"Mendip",46157,100.0,32438,70.3,17387,37.7,15051,32.6,349,0.8,5473,11.9,1320,2.9,4153,9.0,7136,15.5,6449,14.0,687,1.5,761,1.6
"Sedgemoor",48801,100.0,34802,71.3,18320,37.5,16482,33.8,273,0.6,5951,12.2,3670,7.5,2281,4.7,7113,14.6,6380,13.1,733,1.5,662,1.4
"South Somerset",69501,100.0,48855,70.3,26718,38.4,22137,31.9,542,0.8,9697,14.0,2811,4.0,6886,9.9,9272,13.3,7881,11.3,1391,2.0,1135,1.6
"Taunton Deane",46907,100.0,31393,66.9,16329,34.8,15064,32.1,251,0.5,7321,15.6,5439,11.6,1882,4.0,7227,15.4,6506,13.9,721,1.5,715,1.5
"West Somerset",15623,100.0,10421,66.7,7024,45.0,3397,21.7,72,0.5,2288,14.6,181,1.2,2107,13.5,2510,16.1,2189,14.0,321,2.1,332,2.1
"Anglesey",30594,100.0,20971,68.5,12444,40.7,8527,27.9,63,0.2,4487,14.7,3899,12.7,588,1.9,4324,14.1,3699,12.1,625,2.0,749,2.4
"Gwynedd",52473,100.0,34324,65.4,21168,40.3,13156,25.1,171,0.3,8561,16.3,4385,8.4,4176,8.0,8060,15.4,6978,13.3,1082,2.1,1357,2.6
"Conwy",51177,100.0,35501,69.4,20409,39.9,15092,29.5,378,0.7,5946,11.6,2592,5.1,3354,6.6,8534,16.7,7729,15.1,805,1.6,818,1.6
"Denbighshire",40546,100.0,27792,68.5,14937,36.8,12855,31.7,267,0.7,5325,13.1,3283,8.1,2042,5.0,6446,15.9,5798,14.3,648,1.6,716,1.8
"Flintshire",63781,100.0,46451,72.8,22397,35.1,24054,37.7,340,0.5,9651,15.1,7209,11.3,2442,3.8,6729,10.6,5914,9.3,815,1.3,610,1.0
"Wrexham",57029,100.0,36272,63.6,17364,30.4,18908,33.2,211,0.4,12803,22.4,10942,19.2,1861,3.3,6775,11.9,6062,10.6,713,1.3,968,1.7
"Powys",58345,100.0,40090,68.7,25626,43.9,14464,24.8,179,0.3,8161,14.0,5371,9.2,2790,4.8,8638,14.8,7522,12.9,1116,1.9,1277,2.2
"Ceredigion",31562,100.0,21323,67.6,13821,43.8,7502,23.8,110,0.3,3196,10.1,1008,3.2,2188,6.9,6275,19.9,5653,17.9,622,2.0,658,2.1
"Pembrokeshire",53122,100.0,36558,68.8,22307,42.0,14251,26.8,140,0.3,8312,15.6,5822,11.0,2490,4.7,7188,13.5,6180,11.6,1008,1.9,924,1.7
"Carmarthenshire",78829,100.0,56326,71.5,32648,41.4,23678,30.0,178,0.2,11672,14.8,8833,11.2,2839,3.6,9301,11.8,8196,10.4,1105,1.4,1352,1.7
"Swansea",103497,100.0,66259,64.0,34576,33.4,31683,30.6,308,0.3,19878,19.2,13104,12.7,6774,6.5,15260,14.7,13688,13.2,1572,1.5,1792,1.7
"Neath Port Talbot",60393,100.0,41479,68.7,21976,36.4,19503,32.3,111,0.2,11545,19.1,7496,12.4,4049,6.7,6186,10.2,5404,8.9,782,1.3,1072,1.8
"Bridgend",58515,100.0,42348,72.4,20459,35.0,21889,37.4,143,0.2,8099,13.8,2332,4.0,5767,9.9,7188,12.3,6310,10.8,878,1.5,737,1.3
"The Vale of Glamorgan",53505,100.0,38647,72.2,18954,35.4,19693,36.8,125,0.2,6354,11.9,4025,7.5,2329,4.4,7813,14.6,6780,12.7,1033,1.9,566,1.1
"Cardiff",142557,100.0,84262,59.1,37788,26.5,46474,32.6,639,0.4,24374,17.1,13547,9.5,10827,7.6,31220,21.9,28972,20.3,2248,1.6,2062,1.4
