"local authority: district / unitary (prior to April 2015)","All usual residents aged 16 to 74 in employment the week before the census","%","Part-time: 15 hours or less worked","%","Part-time: 16 to 30 hours worked","%","Full-time: 31 to 48 hours worked","%","Full-time: 49 or more hours worked","%","Males: Total","%","Males: Part-time: 15 hours or less worked","%","Males: Part-time: 16 to 30 hours worked","%","Males: Full-time: 31 to 48 hours worked","%","Males: Full-time: 49 or more hours worked","%","Females: Total","%","Females: Part-time: 15 hours or less worked","%","Females: Part-time: 16 to 30 hours worked","%","Females: Full-time: 31 to 48 hours worked","%","Females: Full-time: 49 or more hours worked","%"
"Wealden",71084,100.0,8581,12.1,14444,20.3,36456,51.3,11603,16.3,37600,52.9,2355,3.3,3489,4.9,22657,31.9,9099,12.8,33484,47.1,6226,8.8,10955,15.4,13799,19.4,2504,3.5
"Basingstoke and Deane",90122,100.0,7978,8.9,14361,15.9,55288,61.3,12495,13.9,47831,53.1,2261,2.5,2999,3.3,32887,36.5,9684,10.7,42291,46.9,5717,6.3,11362,12.6,22401,24.9,2811,3.1
"East Hampshire",58457,100.0,6519,11.2,10628,18.2,31740,54.3,9570,16.4,31065,53.1,1740,3.0,2378,4.1,19538,33.4,7409,12.7,27392,46.9,4779,8.2,8250,14.1,12202,20.9,2161,3.7
"Eastleigh",65768,100.0,6507,9.9,12563,19.1,38030,57.8,8668,13.2,34313,52.2,1848,2.8,2518,3.8,23159,35.2,6788,10.3,31455,47.8,4659,7.1,10045,15.3,14871,22.6,1880,2.9
"Fareham",56445,100.0,5700,10.1,10735,19.0,32302,57.2,7708,13.7,29604,52.4,1586,2.8,2143,3.8,19839,35.1,6036,10.7,26841,47.6,4114,7.3,8592,15.2,12463,22.1,1672,3.0
"Gosport",40063,100.0,3484,8.7,7373,18.4,24092,60.1,5114,12.8,21343,53.3,982,2.5,1517,3.8,14787,36.9,4057,10.1,18720,46.7,2502,6.2,5856,14.6,9305,23.2,1057,2.6
"Hart",48047,100.0,4973,10.4,7821,16.3,26942,56.1,8311,17.3,26001,54.1,1301,2.7,1590,3.3,16613,34.6,6497,13.5,22046,45.9,3672,7.6,6231,13.0,10329,21.5,1814,3.8
"Havant",55555,100.0,5595,10.1,11383,20.5,31449,56.6,7128,12.8,29179,52.5,1603,2.9,2506,4.5,19422,35.0,5648,10.2,26376,47.5,3992,7.2,8877,16.0,12027,21.6,1480,2.7
"New Forest",82993,100.0,9975,12.0,17045,20.5,44181,53.2,11792,14.2,43254,52.1,2730,3.3,3950,4.8,27335,32.9,9239,11.1,39739,47.9,7245,8.7,13095,15.8,16846,20.3,2553,3.1
"Rushmoor",51087,100.0,4229,8.3,8063,15.8,31766,62.2,7029,13.8,27487,53.8,1242,2.4,1774,3.5,18897,37.0,5574,10.9,23600,46.2,2987,5.8,6289,12.3,12869,25.2,1455,2.8
