"local authority: district / unitary (prior to April 2015)","All usual residents aged 16 to 74 in employment the week before the census","%","Part-time: 15 hours or less worked","%","Part-time: 16 to 30 hours worked","%","Full-time: 31 to 48 hours worked","%","Full-time: 49 or more hours worked","%","Males: Total","%","Males: Part-time: 15 hours or less worked","%","Males: Part-time: 16 to 30 hours worked","%","Males: Full-time: 31 to 48 hours worked","%","Males: Full-time: 49 or more hours worked","%","Females: Total","%","Females: Part-time: 15 hours or less worked","%","Females: Part-time: 16 to 30 hours worked","%","Females: Full-time: 31 to 48 hours worked","%","Females: Full-time: 49 or more hours worked","%"
"Thanet",55200,100.0,5560,10.1,12568,22.8,30228,54.8,6844,12.4,28293,51.3,1847,3.3,3365,6.1,17952,32.5,5129,9.3,26907,48.7,3713,6.7,9203,16.7,12276,22.2,1715,3.1
"Tonbridge and Malling",59993,100.0,6201,10.3,11083,18.5,33176,55.3,9533,15.9,31691,52.8,1672,2.8,2399,4.0,19987,33.3,7633,12.7,28302,47.2,4529,7.5,8684,14.5,13189,22.0,1900,3.2
"Tunbridge Wells",57234,100.0,5958,10.4,10293,18.0,31264,54.6,9719,17.0,30865,53.9,1641,2.9,2636,4.6,18995,33.2,7593,13.3,26369,46.1,4317,7.5,7657,13.4,12269,21.4,2126,3.7
"Cherwell",74829,100.0,6853,9.2,13311,17.8,43981,58.8,10684,14.3,39567,52.9,1983,2.7,2814,3.8,26506,35.4,8264,11.0,35262,47.1,4870,6.5,10497,14.0,17475,23.4,2420,3.2
"Oxford",69807,100.0,8049,11.5,12267,17.6,40184,57.6,9307,13.3,36187,51.8,3223,4.6,3770,5.4,22824,32.7,6370,9.1,33620,48.2,4826,6.9,8497,12.2,17360,24.9,2937,4.2
"South Oxfordshire",70087,100.0,7152,10.2,12252,17.5,39517,56.4,11166,15.9,37187,53.1,2000,2.9,2720,3.9,23998,34.2,8469,12.1,32900,46.9,5152,7.4,9532,13.6,15519,22.1,2697,3.8
"Vale of White Horse",63181,100.0,6012,9.5,11104,17.6,36689,58.1,9376,14.8,33743,53.4,1755,2.8,2426,3.8,22404,35.5,7158,11.3,29438,46.6,4257,6.7,8678,13.7,14285,22.6,2218,3.5
"West Oxfordshire",56515,100.0,5452,9.6,9768,17.3,32351,57.2,8944,15.8,29919,52.9,1508,2.7,1956,3.5,19567,34.6,6888,12.2,26596,47.1,3944,7.0,7812,13.8,12784,22.6,2056,3.6
"Elmbridge",64730,100.0,6474,10.0,10465,16.2,34267,52.9,13524,20.9,34706,53.6,1805,2.8,2520,3.9,20053,31.0,10328,16.0,30024,46.4,4669,7.2,7945,12.3,14214,22.0,3196,4.9
"Epsom and Ewell",38005,100.0,3979,10.5,6677,17.6,21691,57.1,5658,14.9,19954,52.5,1143,3.0,1604,4.2,12851,33.8,4356,11.5,18051,47.5,2836,7.5,5073,13.3,8840,23.3,1302,3.4
"Guildford",70021,100.0,8222,11.7,11523,16.5,38674,55.2,11602,16.6,37615,53.7,2458,3.5,2762,3.9,23453,33.5,8942,12.8,32406,46.3,5764,8.2,8761,12.5,15221,21.7,2660,3.8
"Mole Valley",42422,100.0,4802,11.3,7685,18.1,22730,53.6,7205,17.0,22571,53.2,1303,3.1,1835,4.3,13877,32.7,5556,13.1,19851,46.8,3499,8.2,5850,13.8,8853,20.9,1649,3.9
"Reigate and Banstead",71236,100.0,6787,9.5,12019,16.9,41301,58.0,11129,15.6,37728,53.0,1938,2.7,2895,4.1,24378,34.2,8517,12.0,33508,47.0,4849,6.8,9124,12.8,16923,23.8,2612,3.7
"Runnymede",40651,100.0,4484,11.0,6718,16.5,22964,56.5,6485,16.0,21477,52.8,1349,3.3,1698,4.2,13503,33.2,4927,12.1,19174,47.2,3135,7.7,5020,12.3,9461,23.3,1558,3.8
"Spelthorne",50161,100.0,4278,8.5,8251,16.4,30880,61.6,6752,13.5,26489,52.8,1298,2.6,1902,3.8,18206,36.3,5083,10.1,23672,47.2,2980,5.9,6349,12.7,12674,25.3,1669,3.3
"Surrey Heath",44968,100.0,4487,10.0,7561,16.8,25306,56.3,7614,16.9,24164,53.7,1293,2.9,1792,4.0,15132,33.7,5947,13.2,20804,46.3,3194,7.1,5769,12.8,10174,22.6,1667,3.7
"Tandridge",41813,100.0,4359,10.4,7303,17.5,23040,55.1,7111,17.0,21975,52.6,1220,2.9,1690,4.0,13610,32.5,5455,13.0,19838,47.4,3139,7.5,5613,13.4,9430,22.6,1656,4.0
"Waverley",59178,100.0,7034,11.9,10632,18.0,30875,52.2,10637,18.0,31643,53.5,1911,3.2,2453,4.1,19027,32.2,8252,13.9,27535,46.5,5123,8.7,8179,13.8,11848,20.0,2385,4.0
"Woking",51341,100.0,4878,9.5,8230,16.0,30103,58.6,8130,15.8,28025,54.6,1480,2.9,2161,4.2,18100,35.3,6284,12.2,23316,45.4,3398,6.6,6069,11.8,12003,23.4,1846,3.6
"Adur",29356,100.0,2986,10.2,6340,21.6,16602,56.6,3428,11.7,15301,52.1,900,3.1,1575,5.4,10158,34.6,2668,9.1,14055,47.9,2086,7.1,4765,16.2,6444,22.0,760,2.6
"Arun",67443,100.0,7429,11.0,14018,20.8,37119,55.0,8877,13.2,34913,51.8,2205,3.3,3570,5.3,22290,33.1,6848,10.2,32530,48.2,5224,7.7,10448,15.5,14829,22.0,2029,3.0
"Chichester",53285,100.0,6703,12.6,10619,19.9,27171,51.0,8792,16.5,27815,52.2,1937,3.6,2699,5.1,16449,30.9,6730,12.6,25470,47.8,4766,8.9,7920,14.9,10722,20.1,2062,3.9
"Crawley",55466,100.0,4573,8.2,9684,17.5,35078,63.2,6131,11.1,29560,53.3,1425,2.6,2504,4.5,20890,37.7,4741,8.5,25906,46.7,3148,5.7,7180,12.9,14188,25.6,1390,2.5
"Horsham",66299,100.0,7634,11.5,12263,18.5,35840,54.1,10562,15.9,34830,52.5,2059,3.1,2728,4.1,21948,33.1,8095,12.2,31469,47.5,5575,8.4,9535,14.4,13892,21.0,2467,3.7
"Mid Sussex",72229,100.0,7643,10.6,13549,18.8,40343,55.9,10694,14.8,38103,52.8,2124,2.9,3013,4.2,24667,34.2,8299,11.5,34126,47.2,5519,7.6,10536,14.6,15676,21.7,2395,3.3
"Worthing",50611,100.0,5210,10.3,10129,20.0,29243,57.8,6029,11.9,26218,51.8,1600,3.2,2475,4.9,17599,34.8,4544,9.0,24393,48.2,3610,7.1,7654,15.1,11644,23.0,1485,2.9
"Bath and North East Somerset",84858,100.0,10836,12.8,17319,20.4,45652,53.8,11051,13.0,44083,51.9,3282,3.9,4183,4.9,28225,33.3,8393,9.9,40775,48.1,7554,8.9,13136,15.5,17427,20.5,2658,3.1
"Bournemouth",89186,100.0,9815,11.0,17617,19.8,51165,57.4,10589,11.9,47594,53.4,3544,4.0,5112,5.7,30758,34.5,8180,9.2,41592,46.6,6271,7.0,12505,14.0,20407,22.9,2409,2.7
"Bristol, City of",209995,100.0,21333,10.2,39767,18.9,126250,60.1,22645,10.8,110813,52.8,7193,3.4,11087,5.3,75850,36.1,16683,7.9,99182,47.2,14140,6.7,28680,13.7,50400,24.0,5962,2.8
"Cornwall",244527,100.0,26426,10.8,56519,23.1,127948,52.3,33634,13.8,127776,52.3,7927,3.2,15037,6.1,79381,32.5,25431,10.4,116751,47.7,18499,7.6,41482,17.0,48567,19.9,8203,3.4
"Isles of Scilly",1311,100.0,93,7.1,229,17.5,745,56.8,244,18.6,694,52.9,26,2.0,63,4.8,445,33.9,160,12.2,617,47.1,67,5.1,166,12.7,300,22.9,84,6.4
"North Somerset",97563,100.0,10516,10.8,20281,20.8,53501,54.8,13265,13.6,51037,52.3,3059,3.1,4473,4.6,33066,33.9,10439,10.7,46526,47.7,7457,7.6,15808,16.2,20435,20.9,2826,2.9
"Plymouth",117466,100.0,12119,10.3,25747,21.9,66730,56.8,12870,11.0,61712,52.5,3933,3.3,6136,5.2,41442,35.3,10201,8.7,55754,47.5,8186,7.0,19611,16.7,25288,21.5,2669,2.3
"Poole",71709,100.0,7489,10.4,14262,19.9,40868,57.0,9090,12.7,38189,53.3,2247,3.1,3353,4.7,25355,35.4,7234,10.1,33520,46.7,5242,7.3,10909,15.2,15513,21.6,1856,2.6
"South Gloucestershire",136531,100.0,14081,10.3,26827,19.6,79877,58.5,15746,11.5,72052,52.8,3750,2.7,5192,3.8,50426,36.9,12684,9.3,64479,47.2,10331,7.6,21635,15.8,29451,21.6,3062,2.2
"Swindon",109499,100.0,9044,8.3,18995,17.3,69787,63.7,11673,10.7,59034,53.9,2733,2.5,4173,3.8,42889,39.2,9239,8.4,50465,46.1,6311,5.8,14822,13.5,26898,24.6,2434,2.2
"Torbay",56912,100.0,5710,10.0,13728,24.1,30781,54.1,6693,11.8,29353,51.6,1863,3.3,3739,6.6,18717,32.9,5034,8.8,27559,48.4,3847,6.8,9989,17.6,12064,21.2,1659,2.9
"Wiltshire",239216,100.0,24274,10.1,44491,18.6,132635,55.4,37816,15.8,128455,53.7,6700,2.8,9751,4.1,81830,34.2,30174,12.6,110761,46.3,17574,7.3,34740,14.5,50805,21.2,7642,3.2
"East Devon",59908,100.0,7045,11.8,13520,22.6,30304,50.6,9039,15.1,31355,52.3,2081,3.5,3466,5.8,18740,31.3,7068,11.8,28553,47.7,4964,8.3,10054,16.8,11564,19.3,1971,3.3
"Exeter",57139,100.0,6861,12.0,12094,21.2,32286,56.5,5898,10.3,29331,51.3,2318,4.1,3120,5.5,19416,34.0,4477,7.8,27808,48.7,4543,8.0,8974,15.7,12870,22.5,1421,2.5
"Mid Devon",38508,100.0,4072,10.6,8042,20.9,20216,52.5,6178,16.0,20226,52.5,1102,2.9,1854,4.8,12420,32.3,4850,12.6,18282,47.5,2970,7.7,6188,16.1,7796,20.2,1328,3.4
"North Devon",44754,100.0,4823,10.8,10178,22.7,23096,51.6,6657,14.9,23675,52.9,1464,3.3,2593,5.8,14529,32.5,5089,11.4,21079,47.1,3359,7.5,7585,16.9,8567,19.1,1568,3.5
"South Hams",39999,100.0,4841,12.1,9006,22.5,19675,49.2,6477,16.2,20817,52.0,1377,3.4,2352,5.9,12076,30.2,5012,12.5,19182,48.0,3464,8.7,6654,16.6,7599,19.0,1465,3.7
"Teignbridge",58962,100.0,6587,11.2,13061,22.2,31183,52.9,8131,13.8,30456,51.7,1978,3.4,3306,5.6,18972,32.2,6200,10.5,28506,48.3,4609,7.8,9755,16.5,12211,20.7,1931,3.3
"Torridge",29402,100.0,3298,11.2,6689,22.8,14757,50.2,4658,15.8,15550,52.9,876,3.0,1715,5.8,9315,31.7,3644,12.4,13852,47.1,2422,8.2,4974,16.9,5442,18.5,1014,3.4
"West Devon",25241,100.0,3043,12.1,5509,21.8,12144,48.1,4545,18.0,13105,51.9,905,3.6,1424,5.6,7393,29.3,3383,13.4,12136,48.1,2138,8.5,4085,16.2,4751,18.8,1162,4.6
"Christchurch",20301,100.0,2379,11.7,4536,22.3,10881,53.6,2505,12.3,10666,52.5,716,3.5,1146,5.6,6833,33.7,1971,9.7,9635,47.5,1663,8.2,3390,16.7,4048,19.9,534,2.6
"East Dorset",40050,100.0,5085,12.7,8277,20.7,20735,51.8,5953,14.9,21088,52.7,1407,3.5,1850,4.6,13073,32.6,4758,11.9,18962,47.3,3678,9.2,6427,16.0,7662,19.1,1195,3.0
"North Dorset",33432,100.0,3575,10.7,6367,19.0,17689,52.9,5801,17.4,18230,54.5,928,2.8,1398,4.2,11301,33.8,4603,13.8,15202,45.5,2647,7.9,4969,14.9,6388,19.1,1198,3.6
"Purbeck",21419,100.0,2510,11.7,4549,21.2,11187,52.2,3173,14.8,11462,53.5,699,3.3,1115,5.2,7124,33.3,2524,11.8,9957,46.5,1811,8.5,3434,16.0,4063,19.0,649,3.0
"West Dorset",45714,100.0,5554,12.1,10018,21.9,23278,50.9,6864,15.0,23910,52.3,1606,3.5,2551,5.6,14495,31.7,5258,11.5,21804,47.7,3948,8.6,7467,16.3,8783,19.2,1606,3.5
"Weymouth and Portland",29987,100.0,3128,10.4,7119,23.7,16235,54.1,3505,11.7,15874,52.9,994,3.3,1949,6.5,10238,34.1,2693,9.0,14113,47.1,2134,7.1,5170,17.2,5997,20.0,812,2.7
"Cheltenham",59183,100.0,6017,10.2,10967,18.5,35130,59.4,7069,11.9,31276,52.8,1949,3.3,2841,4.8,21329,36.0,5157,8.7,27907,47.2,4068,6.9,8126,13.7,13801,23.3,1912,3.2
"Cotswold",41529,100.0,4995,12.0,7887,19.0,21363,51.4,7284,17.5,21988,52.9,1323,3.2,1903,4.6,13181,31.7,5581,13.4,19541,47.1,3672,8.8,5984,14.4,8182,19.7,1703,4.1
"Forest of Dean",39068,100.0,4281,11.0,7946,20.3,21257,54.4,5584,14.3,20801,53.2,1140,2.9,1796,4.6,13446,34.4,4419,11.3,18267,46.8,3141,8.0,6150,15.7,7811,20.0,1165,3.0
"Gloucester",61374,100.0,5501,9.0,12479,20.3,37214,60.6,6180,10.1,32162,52.4,1716,2.8,2726,4.4,22825,37.2,4895,8.0,29212,47.6,3785,6.2,9753,15.9,14389,23.4,1285,2.1
"Stroud",57342,100.0,6433,11.2,11609,20.2,31518,55.0,7782,13.6,30419,53.0,1824,3.2,2603,4.5,19978,34.8,6014,10.5,26923,47.0,4609,8.0,9006,15.7,11540,20.1,1768,3.1
"Tewkesbury",41544,100.0,4113,9.9,7983,19.2,23936,57.6,5512,13.3,21884,52.7,1140,2.7,1701,4.1,14735,35.5,4308,10.4,19660,47.3,2973,7.2,6282,15.1,9201,22.1,1204,2.9
"Mendip",53845,100.0,6142,11.4,11649,21.6,27621,51.3,8433,15.7,28097,52.2,1671,3.1,2763,5.1,17040,31.6,6623,12.3,25748,47.8,4471,8.3,8886,16.5,10581,19.7,1810,3.4
"Sedgemoor",54540,100.0,5839,10.7,11544,21.2,29686,54.4,7471,13.7,28870,52.9,1653,3.0,2621,4.8,18705,34.3,5891,10.8,25670,47.1,4186,7.7,8923,16.4,10981,20.1,1580,2.9
"South Somerset",78771,100.0,8209,10.4,16094,20.4,43608,55.4,10860,13.8,42308,53.7,2354,3.0,3463,4.4,27929,35.5,8562,10.9,36463,46.3,5855,7.4,12631,16.0,15679,19.9,2298,2.9
"Taunton Deane",54244,100.0,5414,10.0,11631,21.4,29882,55.1,7317,13.5,28004,51.6,1636,3.0,2644,4.9,18032,33.2,5692,10.5,26240,48.4,3778,7.0,8987,16.6,11850,21.8,1625,3.0
"West Somerset",15355,100.0,1688,11.0,3510,22.9,7782,50.7,2375,15.5,8055,52.5,498,3.2,1056,6.9,4779,31.1,1722,11.2,7300,47.5,1190,7.7,2454,16.0,3003,19.6,653,4.3
"Anglesey",30431,100.0,2772,9.1,6374,20.9,17412,57.2,3873,12.7,16061,52.8,832,2.7,1640,5.4,10528,34.6,3061,10.1,14370,47.2,1940,6.4,4734,15.6,6884,22.6,812,2.7
"Gwynedd",53961,100.0,5791,10.7,11670,21.6,29345,54.4,7155,13.3,28391,52.6,1876,3.5,3283,6.1,17692,32.8,5540,10.3,25570,47.4,3915,7.3,8387,15.5,11653,21.6,1615,3.0
"Conwy",50093,100.0,4659,9.3,11559,23.1,27261,54.4,6614,13.2,25780,51.5,1603,3.2,3271,6.5,15833,31.6,5073,10.1,24313,48.5,3056,6.1,8288,16.5,11428,22.8,1541,3.1
"Denbighshire",41156,100.0,3641,8.8,8980,21.8,23169,56.3,5366,13.0,21194,51.5,1219,3.0,2393,5.8,13368,32.5,4214,10.2,19962,48.5,2422,5.9,6587,16.0,9801,23.8,1152,2.8
"Flintshire",74049,100.0,6618,8.9,14821,20.0,44653,60.3,7957,10.7,38941,52.6,1958,2.6,3208,4.3,27443,37.1,6332,8.6,35108,47.4,4660,6.3,11613,15.7,17210,23.2,1625,2.2
"Wrexham",63614,100.0,5440,8.6,13202,20.8,37826,59.5,7146,11.2,33532,52.7,1597,2.5,3026,4.8,23123,36.3,5786,9.1,30082,47.3,3843,6.0,10176,16.0,14703,23.1,1360,2.1
"Powys",63653,100.0,6154,9.7,13120,20.6,32577,51.2,11802,18.5,33893,53.2,1811,2.8,3252,5.1,19545,30.7,9285,14.6,29760,46.8,4343,6.8,9868,15.5,13032,20.5,2517,4.0
"Ceredigion",32446,100.0,4011,12.4,6762,20.8,16329,50.3,5344,16.5,17127,52.8,1446,4.5,2034,6.3,9667,29.8,3980,12.3,15319,47.2,2565,7.9,4728,14.6,6662,20.5,1364,4.2
"Pembrokeshire",54217,100.0,5486,10.1,12430,22.9,27735,51.2,8566,15.8,28642,52.8,1645,3.0,3058,5.6,17317,31.9,6622,12.2,25575,47.2,3841,7.1,9372,17.3,10418,19.2,1944,3.6
"Carmarthenshire",80680,100.0,6932,8.6,17204,21.3,44798,55.5,11746,14.6,41938,52.0,2248,2.8,4486,5.6,26279,32.6,8925,11.1,38742,48.0,4684,5.8,12718,15.8,18519,23.0,2821,3.5
"Swansea",102793,100.0,10618,10.3,23454,22.8,58644,57.1,10077,9.8,53508,52.1,3734,3.6,6504,6.3,35336,34.4,7934,7.7,49285,47.9,6884,6.7,16950,16.5,23308,22.7,2143,2.1
"Neath Port Talbot",58980,100.0,4688,7.9,12659,21.5,36034,61.1,5599,9.5,31033,52.6,1445,2.4,2736,4.6,22351,37.9,4501,7.6,27947,47.4,3243,5.5,9923,16.8,13683,23.2,1098,1.9
"Bridgend",61259,100.0,5029,8.2,12918,21.1,36822,60.1,6490,10.6,32157,52.5,1532,2.5,3031,4.9,22406,36.6,5188,8.5,29102,47.5,3497,5.7,9887,16.1,14416,23.5,1302,2.1
"The Vale of Glamorgan",58978,100.0,5358,9.1,12312,20.9,33652,57.1,7656,13.0,30655,52.0,1687,2.9,2976,5.0,19965,33.9,6027,10.2,28323,48.0,3671,6.2,9336,15.8,13687,23.2,1629,2.8
"Cardiff",159614,100.0,16612,10.4,31279,19.6,94722,59.3,17001,10.7,82702,51.8,6068,3.8,9336,5.8,54706,34.3,12592,7.9,76912,48.2,10544,6.6,21943,13.7,40016,25.1,4409,2.8
"Rhondda, Cynon, Taff",99327,100.0,8196,8.3,20736,20.9,61047,61.5,9348,9.4,51755,52.1,2520,2.5,4730,4.8,36955,37.2,7550,7.6,47572,47.9,5676,5.7,16006,16.1,24092,24.3,1798,1.8
"Merthyr Tydfil",25099,100.0,1921,7.7,5198,20.7,15662,62.4,2318,9.2,13036,51.9,632,2.5,1274,5.1,9269,36.9,1861,7.4,12063,48.1,1289,5.1,3924,15.6,6393,25.5,457,1.8
"Caerphilly",77488,100.0,5815,7.5,15097,19.5,49005,63.2,7571,9.8,40618,52.4,1752,2.3,3503,4.5,29320,37.8,6043,7.8,36870,47.6,4063,5.2,11594,15.0,19685,25.4,1528,2.0
"Blaenau Gwent",28291,100.0,2134,7.5,5849,20.7,17820,63.0,2488,8.8,14866,52.5,695,2.5,1412,5.0,10715,37.9,2044,7.2,13425,47.5,1439,5.1,4437,15.7,7105,25.1,444,1.6
"Torfaen",40261,100.0,3264,8.1,8280,20.6,24940,61.9,3777,9.4,20858,51.8,993,2.5,1853,4.6,15001,37.3,3011,7.5,19403,48.2,2271,5.6,6427,16.0,9939,24.7,766,1.9
"Monmouthshire",42817,100.0,4240,9.9,8459,19.8,23344,54.5,6774,15.8,22640,52.9,1291,3.0,2014,4.7,14096,32.9,5239,12.2,20177,47.1,2949,6.9,6445,15.1,9248,21.6,1535,3.6
"Newport",64408,100.0,5681,8.8,14150,22.0,37808,58.7,6769,10.5,33633,52.2,1870,2.9,3647,5.7,22755,35.3,5361,8.3,30775,47.8,3811,5.9,10503,16.3,15053,23.4,1408,2.2
